hotel_name,hotel_location,rating,review
Hotel 1900 Chinatown,Singapore,7.9,The place was nice and clean.
V Hotel Lavender,Singapore,7.1,just only good location
Marina Bay Sands,Singapore,9.2,Everything.
Hotel Grand Pacific,Singapore,7.1,Nothing
Jasmine 59 Hotel,Thailand,8.8,"The facilities of the hotel were incredible. The pool is such a pleasure to swim in, it felt like a safe haven in the middle of the liveliness of Bangkok. The hotel also has a great gym, as well as an Onsen and other spa facilities. We also happily got upgraded."
CA Hotel and Residence Phuket - SHA Extra Plus,Thailand,7.9,The hotel has a fairly good gym and swimming pool. The location is good near bus station 2 (note that you cannot get to the airport from this bus station). A few good and affordable really local restaurants near the hotel.
At Home Khaolak,Thailand,9.0,A cozy family hotel with only 8 rooms. The owner and other staff are helpful and friendly. The rooms are spacious and the location is good as I never travel to SE Asia without renting a motorbike.
Best Rent a Room,Thailand,9.4,One of the most comfortable bed I found in my whole Thailand trip. The host was amazing and supportive and helped in everything. She even gave us free airport drop and was very humble lady.
Blue Carina Hotel - SHA Plus,Thailand,8.7,The staff is very very nice. Room and bathroom are big enough. There is a swimming pool. Location is almost 30 minutes to drive from airport. Breakfast is good enough.
Tangerine Dream Guesthouse,Thailand,10.0,"This hostel is very clean,tidy and cosy. 
Close to plenty of amenities- markets, bars, food courts and restaurants!"
Inn Dulgence,Thailand,8.7,Great location just a few minutes walk from the beach. It’s a bit basic but good value for the location.
Solitaire Bangkok Sukhumvit 11,Thailand,8.0,Breakfast spread was good and had a relaxing time over breakfast.
Muang Samui Spa Resort - SHA Extra Plus,Thailand,8.5,"Free upgrade to room, wonderful"
Travelodge Nimman,Thailand,8.8,Clean and new
HY Local Budget Hotel by Hoianese - 5 mins walk to Hoi An Ancient Town,Vietnam,9.2,"Everything about this property was incredible. I booked a female dorm and it was amazing. Super comfy single beds and rooms were cleaned everyday. Also, loved how much Wendy and Min helped the guests. There is a leaflet with complete information about what we can do in Hoi An. Also, there is a free walking tour which was definitely the best part. Just 5-mins walking distance from Hoi An Old Town. Loved everything, best place for female solo travelers ❤️"
Saigonese Trekking House,Vietnam,8.8,"This is the cutest little place to stay in SaPa town, away from humdrums of cafe. Loved how every corner of the place had an aesthetic touch. The concept of Buddhism and aura of peace prevailed throughout. The beds were super comfy and there was space to even store luggage."
Sin Chai Ecolodge,Vietnam,8.5,"The room, the bath and view from the room & bath were amazing! The staff was very friendly and helpful! The location is great, in calm area and close by the Cat Cat village!"
Hải Nam Hotel (Sài Gòn),Vietnam,8.2,"The staff were very friendly and helpful, the room was quiet as it was towards the back of the building. Air conditioning worked well. Location was very good."
Liberty Central Saigon Citypoint,Vietnam,8.6,Great location and facilities including a great rooftop bar and pool - it’s a solid 4 star (not at all luxury) but decent VFM
L'Signature Hotel & Spa,Vietnam,9.7,Amazing and friendly staff made the visit very special. Spotless modern rooms and a great location.
Banyan Villa Nha Trang,Vietnam,10.0,Had a pleasant stay. Great hospitality and services. Highly recommend for families and big group.
Acoustic Hotel & Spa,Vietnam,9.3,"Conveniently located, friendly staff, great service"
JoyStay,Vietnam,9.2,The location
Lub d Cambodia Siem Reap,Cambodia,9.0,"The best hostel we’ve stayed at in SE Asia. We booked a private room, super comfy bed and good aircon. Bathroom was lovely, separate shower so water didn’t go everywhere. Fun quiz nights and good tours provided. Location was fab, near all restaurants and bars. Also good laundry service that you can do, cheap!"
BeachWalk Koh Rong,Cambodia,9.5,"Super Clean room and facilities.
Super good food. Very nice pool and friendly staff. Super nice location on the beautiful long set beach. 
We spent later a night in another neighbour hotel and there was a massive difference even though the price was not so different."
La Chronique Hotel,Cambodia,9.3,"Was very nice and clean. The cafe/restaurant also very pleasant.
Small room but enough. 
The neighbourhood is very good to go to dinner in the evening. Lots of nice restaurant choices."
PATIO Hotel & Urban Resort,Cambodia,8.7,"Staff, style of the hotel, decoration. All was great, I really enjoy staying here. Also the neighbourhood is really nice, with plenty of options to eat. Loved it. Pool was nice as well."
The Twizt - Lifestyle Hostel,Cambodia,8.7,"The location was perfect. Close to the river, walking distance to good restaurants and bars. 
The rooftop pool was amazing and lovely friendly staff. Everywhere was very clean."
Sorya Guesthouse & Dolphin Tours,Cambodia,8.9,"Great room, nice beds. The kayak dolphin tour was amazing. Good food in the rooftop bar. Lovely staff. All over great experience."
NYNA Villa KAMPOT,Cambodia,8.6,Nyna villa was a clean place located on the edge of Old town street. Friendly and helpful staff!
SCARLET SAILS BUNGALOW,Cambodia,7.6,The only Good thing was the Location on Long set Beach.
La Villa,Cambodia,8.3,Lovely small tranquil villa.  Wonderful pool.
Harmony Indochine d'Angkor,Cambodia,8.6,Easy access to facilities
